City ST Country,Population (k),Elevation (m),Avg. Temp (C),High Temp (C),Low Temp (C),Rainfall (cm),Snowfall (cm),Rel. Humid (%),Wind (km/h),Continent,Lat (N/S),Lon (E/W)
Belem PA Brazil,143,16,25.9,32.3,21.6,279,0,86.8,12,South America,-1.46,-48.49
Semarang Java Indonesia,1556,3,28,32,24,278,0,77,14,Oceania,-7.01,110.44
Balikpapan Borneo Indonesia,558,3,27,30,25,278,0,84,12,Oceania,-1.24,116.85
Pathein Myanmar,316,10,26,35,17,276,0,79,7.4,Asia,16.78,94.74
Kochi KL India,2232,3,27,31,23,274,0,82.1,12,Asia,9.93,76.27
Preah_Sihanouk Cambodia,200,10,27.2,31,24,272.5,0,78.5,7.8,Asia,10.76,103.82
Kota_Bharu Malaysia,491,4,26,32,22,270,0,83,5.1,Asia,6.12,102.28
Yangon Myanmar,7361,28,27,37,18,268.1,0,76.5,12,Asia,16.87,96.20
Kenema Sierra_Leone,200,176,26,34,19,266.5,0,77.2,10.6,Africa,7.86,-11.20
Petersburg AK USA,3,3,5.4,17.6,-6.2,266.2,195.6,75.5,6.4,North America,56.81,-132.96
Bandar_Seri_Begawan Brunei,27,14,27,32,23,264,0,85,9,Oceania,4.90,114.94
Mount_Hagen Papua_New_Guinea,46,1722,20.3,22,14,263.8,0,79,12.7,Oceania,-5.86,144.24
Kota_Kinabalu Malaysia,207,3,26,31,22,262.1,0,85,5,Asia,5.98,116.07
Prince_Rupert BC Canada,13,33,7.5,17,-0.8,261.9,92.4,84,12,North America,54.32,-130.32
Coatzacoalcos VE Mexico,234,34,25,31,20,261,0,80.5,14,Latin America,18.13,-94.46
Pekanbaru Sumatra Indonesia,898,31,27,31,23,258,0,82,12,Oceania,0.51,101.45
Banjarmasin Kalimantan Indonesia,625,20,27,31,23,257,0,83,9,Oceania,-3.32,114.59
Macapa AP Brazil,369,14,26.6,32.6,22.9,256.1,0,83.1,9,South America,0.04,-51.07
David Panama,145,25,27.1,32,23,255,0,75.7,7.1,Latin America,8.40,-82.44
Santiago Panama,89,87,27.1,31,22,254,0,74.8,7.3,Latin America,8.09,-80.98
Moroni Comoros,31,17,25,30.6,20.6,253.2,0,81,9,Africa,-11.72,43.25
Dededo Guam,45,111,25,30,21,253.1,0,73,11.9,Oceania,13.55,144.85
Palembang Sumatra Indonesia,1455,10,27,31,23,246,0,83,9,Oceania,-2.98,104.78
Mumbai MH India,12478,14,27.1,33.5,16.7,243.1,0,70.4,9,Asia,19.08,72.88
Valdivia Chile,139,14,12,22,5,243,0,85,17,South America,-39.82,-73.24
Kuala_Lumpur Malaysia,1768,21,27,32,22,242,0,81.7,9,Asia,3.14,101.69
Bergen Norway,266,49,7.6,17.6,-0.5,241.2,25,76.5,16,Europe,60.39,5.32
Sitka AK USA,9,2,6,16,-2,241,83.8,79,12.6,North America,57.05,-135.33
Galle Sri_Lanka,99,13,26,31.7,22.8,240.3,0,81,9.3,Asia,6.05,80.22
George_Town Malaysia,740,59,27.6,32.2,23.6,239.8,0,83.5,4.6,Asia,5.44,100.31
Jayapura Papua Indonesia,257,28,27,32,24,239.8,0,80.4,7.6,Oceania,-2.59,140.67
Batumi Georgia,126,6,14,25,3,239.2,2,74.5,19,Middle East,41.62,41.64
Cordoba VE Mexico,141,781,22.5,31.7,13.1,236.4,0,80,4.6,Latin America,18.82,-97.16
Victoria Seychelles,26,3,27,30,24,235,0,79.5,16,Asia,-4.62,55.45
Gbarnga Liberia,34,243,24.8,33,18,234.7,0,80.3,5.9,Africa,7.00,-9.47
Klawock AK USA,1,3,7.5,18.3,-0.5,234.7,37.9,78,24,North America,55.55,-133.10
Ipoh Malaysia,658,37,27,33,22,234,0,78,2.7,Asia,4.60,101.09
Tuxtepec OA Mexico,94,26,24.9,34.1,16.4,233.1,0,81.5,5,Latin America,18.08,-96.14
Andapa Madagascar,190,502,21.3,28,16,232.1,0,81,10.7,Africa,-14.66,49.65
Port_Harcourt Nigeria,1865,17,26,29,24,231.1,0,83,3.8,Africa,4.82,7.05
Manaus AM Brazil,1793,84,27,32,23,230.7,0,83,12,South America,-3.12,-60.02
Puerto_Ayacucho Venezuela,53,71,27.7,35.5,22.3,229,0,76.1,6.9,South America,5.66,-67.58
Singapore Singapore,5535,15,27,31,23,227.1,0,82.5,12,Asia,1.35,103.82
Georgetown Guyana,131,2,26,31.1,23.9,226,0,84,6.6,South America,6.80,-58.16
Porto_Velho RO Brazil,369,88,25.6,34.3,18.3,225.5,0,86.1,12,South America,-8.76,-63.90
Jambi Sumatra Indonesia,3412,25,26,32,22,225.4,0,82.4,2.5,Oceania,-1.49,102.44
Hubli KA India,944,729,25.4,33.1,17,223.3,0,77,8.5,Asia,15.36,75.12
Colombo Sri_Lanka,753,4,27,31,23,223,0,78.5,9,Asia,6.93,79.86
Kagoshima Japan,606,4,18,31,3,223,4,69,8,Asia,31.60,130.56
Paramaribo Suriname,241,14,27,33,22,222,0,78,9,South America,5.85,-55.20
Bata Equatorial_Guinea,251,2,25,32,20,222,0,87,5.3,Africa,1.85,9.78
Sao_Luis MA Brazil,959,53,26.1,31.4,22.6,219.6,0,84.9,14,South America,-2.54,-44.28
Yogyakarta Java Indonesia,389,106,25,31,20,218,0,77,6.4,Oceania,-7.80,110.37
Hong_Kong HK China,7299,24,23,31,14,218,0,75,17,Asia,22.40,114.11
Crescent_City CA USA,8,17,10.9,16.9,5.1,217.2,1.8,49,13.8,North America,41.76,-124.20
Honiara Solomon_Islands,65,54,26,30,22,217,0,83,9,Oceania,-9.45,159.97
Port_Vila Vanuatu,44,21,24,30,17,217,0,86.3,9,Oceania,-17.73,168.33
Pakse Laos,88,92,26,35,17,216,0,71,4.2,Asia,15.11,105.82
Iloilo Philippines,425,7,28,33,23,215,0,82,12,Asia,10.72,122.56
Shillong ML India,143,1598,16.7,24,4.4,215,0,59,4.6,Asia,25.58,91.89
Dhaka Bangladesh,16970,9,26.1,33.7,12.7,214.8,0,75,6,Asia,23.81,90.41
Myitkyina Myanmar,307,143,23,32,10,214,0,78,2,Asia,25.39,97.38
Forks WA USA,4,54,4.4,18.8,-5.7,213.7,58.2,79,8,North America,47.95,-124.39
Malacca Malaysia,873,9,27,32,22,213,0,82.5,9,Asia,2.19,102.25
Naha Japan,316,53,22,30,14,213,0,74,17,Asia,26.21,127.68
Ambanja Madagascar,28,21,25.4,33,21,211.2,0,79.8,8.2,Africa,-13.66,48.45
Libreville Gabon,704,14,26,29,23,210,0,88.8,12,Africa,0.42,9.47
Maceio AL Brazil,932,114,24.8,30.4,20.2,207.1,0,78.5,14,South America,-9.65,-35.71
Taipei Taiwan,2704,6,22,33,12,207,0,78.3,16,Asia,25.03,121.57
Kandy Sri_Lanka,125,477,24,32,18,206.6,0,74,7.6,Asia,7.29,80.63
Santarem PA Brazil,206,71,27,32,23,206,0,78,16,South America,-2.45,-54.70
Daru PNG,15,6,26,32,22,203.9,0,81.7,9.9,Oceania,-9.08,143.21
Medan Sumatra Indonesia,2098,24,27,31,23,203,0,85,9,Oceania,3.60,98.67
Bissau Guinea_Bissau,388,35,27,32,21,202.3,0,66,12,Africa,11.88,-15.62
Fort_de_France Martinique,386,3,26,30,21,202,0,83,16,Latin America,14.62,-61.06
Pyay Myanmar,135,35,27.6,36.6,16,200,0,71.9,18.2,Asia,18.84,95.26
Maraba PA Brazil,186,95,26.3,33.4,21.1,200,0,82.6,4.1,South America,-5.38,-49.13
Salvador BA Brazil,2902,6,25.3,30,21.2,199.5,0,80.9,17,South America,-12.97,-38.50
Niksic Montenegro,57,646,11,26,-1,198.5,5,65,12,Europe,42.78,18.96
Kodiak AK USA,6,33,4.9,16.3,-3.4,198.1,175,77.3,18,North America,57.79,-152.41
Da_Nang Vietnam,1047,7,26,32,19,198,0,80.5,8,Asia,16.05,108.20
Cairns QLD Australia,142,3,25,31,17,198,0,75.8,12,Oceania,-16.92,145.78
Puerto_Montt Chile,221,85,10,19,3,198,0,84,17,South America,-41.47,-72.94
Manila Philippines,1780,14,27,33,21,197,0,78.8,17,Asia,14.60,120.98
Villahermosa TB Mexico,354,24,27.1,35.1,19.3,196.1,0,87,6.4,Latin America,17.84,-92.62
Nagasaki Japan,444,35,17,30,3,196,4,66,9,Asia,32.75,129.88
Male Maldives,117,2,28,31,25,195.3,0,83.3,8.7,Asia,4.18,73.51
Port_Gentil Gabon,136,3,26,29,22,195.3,0,85.5,14,Africa,-0.74,8.76
Ho_Chi_Minh_City Vietnam,8224,18,28,33,22,195,0,80.8,8,Asia,10.82,106.63
Itaituba PA Brazil,98,45,26.7,33.6,21.3,194.8,0,87.8,1.7,South America,-4.27,-55.99
Les_Cayes Haiti,88,10,25.8,31.1,18.3,194.1,0,73.2,40.7,Latin America,18.20,-73.75
Wewak Papua_New_Guinea,25,2,26.5,29,25,193.2,0,81.2,8.6,Oceania,-3.58,143.66
Dongguan GD China,8220,7,22.4,32,10,192.6,0,76.7,8.1,Asia,23.02,113.75
Chapeco SC Brazil,166,679,18.7,28.8,10.2,192,0,73.5,4.2,South America,-27.10,-52.62
Bairiki Kiribati,4,4,27,31,25,191.4,0,80,9.8,Oceania,1.33,172.98
Vigo Spain,295,256,13.6,24.3,5,190.9,0,79,12,Europe,42.24,-8.72
Panama_City Panama,881,13,27,32,24,190.7,0,81.5,17,Latin America,8.98,-79.52
Port_Alberni BC Canada,18,2,9.7,25.5,0.2,190.7,80,77.9,5.8,North America,49.23,-124.81
Joinville SC Brazil,487,2,24,31,18,189,0,86,3.7,South America,-26.30,-48.85
Papeete Tahiti,26,2,26,31,20,188,0,80,10,Oceania,-17.55,-149.56
Shenzhen GD China,10779,18,22,32,10,186.7,0,77,8.5,Asia,22.54,114.06
Birgunj Nepal,139,90,24.9,37,10,186.2,0,69.5,4,Asia,27.04,84.87
Seward AK USA,3,7,4.7,16.4,-5.4,186.2,163.6,76.1,14.9,North America,60.10,-149.44
Franceville Gabon,111,437,24,30,17,186,0,81,1.7,Africa,-1.62,13.60
Ciudad_del_Este Paraguay,321,206,22.3,31.6,11.5,185.2,0,73,3.6,South America,-25.51,-54.68
Vinh Vietnam,490,4,24,34,15,185,0,85,6.9,Asia,18.68,105.68
Kumamoto Japan,734,41,15,32,3,184,1,78,5.1,Asia,32.80,130.71
Bandung Java Indonesia,2575,740,22,28,17,183,0,73,4.4,Oceania,-6.92,107.62
Tawau Malaysia,114,17,26,32,21,182,0,83.6,3.7,Asia,4.24,117.89
Jakarta Java Indonesia,10075,29,27,31,23,181.6,0,79.5,9,Oceania,-6.18,106.87
Saint_Denis Reunion,145,24,24,29,18,181,0,74.2,20,Africa,-20.89,55.46
Khulna Bangladesh,663,4,26.3,34.6,12.4,180.9,0,76,6,Asia,22.85,89.54
Chilliwack BC Canada,84,9,10.9,25.1,-0.3,180.2,105,78,3.1,North America,49.16,-121.95
Recife PE Brazil,1538,18,25.5,30.2,19.2,180,0,79.8,14,South America,-8.05,-34.88
Belize_City Belize,57,4,26,30,21,180,0,83.5,12,Latin America,17.50,-88.20
Thiruvananthapuram KL India,958,9,27,32.1,22.4,179.7,0,79,8.1,Asia,8.52,76.94
Davao Philippines,1633,17,27,32,23,179.3,0,86,8,Asia,7.19,125.46
Malabo Equatorial_Guinea,31,49,25,31,19,179,0,90,6.8,Africa,3.75,8.74
Tainan Taiwan,1885,16,23,31,12,179,0,82,6.9,Asia,23.00,120.23
San_Jose Costa_Rica,288,920,20,26,14,179,0,77,16,South America,9.93,-84.09
Akita Japan,324,21,11,27,-2,178,377,73,16,Asia,39.72,140.10
Port_of_Spain Trinidad_Tobago,43,14,26,31,21,177,0,83.5,14,Latin America,10.65,-61.50
Haiphong Vietnam,1885,113,23,31,13,177,0,85,6.9,Asia,20.84,106.69
Fianarantsoa Madagascar,190,1200,18.8,26.3,10.1,175.8,0,72,6.1,Africa,-21.45,47.09
Veracruz VE Mexico,428,13,24,32,17,175.6,0,80,27,Latin America,19.17,-96.13
Nzerekore Guinea,107,470,25,30,21,175.4,0,76.5,14,Africa,7.75,-8.83
Valdez AK USA,4,10,3.9,16.8,-7.1,175.3,828.8,71.8,7,North America,61.13,-146.35
Foshan GD China,6152,6,22.4,33,10,173.5,0,77,7.3,Asia,23.02,113.12
Denpasar Bali Indonesia,789,34,28.1,34.4,22.5,173.2,0,82.5,6.3,Oceania,-8.67,115.21
Puducherry PY India,242,1,28.5,36.8,20.3,172.8,0,80,8.4,Asia,11.91,79.81
Nukualofa Tonga,24,3,24.1,29.9,18.1,172.1,0,76,12.5,Oceania,-21.14,-175.20
Merida Venezuela,232,1497,20,25,15,172,0,70.4,12,South America,8.57,-71.18
Mayaguez PR USA,88,9,22,30,19,171.3,0,78,13,North America,18.20,-67.15
Boa_Vista RR Brazil,278,139,27.4,33.7,23.2,171,0,74.9,17,South America,2.82,-60.68
Wenzhou ZJ China,3039,7,18,31,5,171,0,81.6,9,Asia,27.99,120.67
Port_Louis Mauritius,140,56,23,28,18,171,0,79.5,16,Africa,-20.16,57.50
Coffs_Harbour NSW Australia,69,4,18,26,7,171,0,72.5,17,Oceania,-30.30,153.11
Astoria OR USA,10,2,10.7,20.4,2.6,170.9,13.2,82.8,13,North America,46.19,-123.83
San_Salvador El_Salvador,282,620,24,30,18,170,0,74.5,12,Latin America,13.69,-89.22
Enugu Nigeria,3268,136,27,30,25,169.5,0,75,5.1,Africa,6.46,7.55
Aracaju SE Brazil,571,9,26,29.8,21.6,169.5,0,78.2,12,South America,-10.95,-37.07
Guangzhou GD China,13081,7,22,32,10,169,0,75,8,Asia,23.13,113.26
Bumba DRC,107,365,25.1,32,21,168.9,0,77.2,2.8,Africa,2.20,22.47
Waimea HI USA,10,957,15.1,22.1,8.1,168.3,0,66,9.6,North America,20.02,-155.67
Mobile AL USA,195,64,19.6,32.8,4.4,168.2,0.5,74.3,12.6,North America,30.70,-88.04
Newport OR USA,10,48,10,17,3,168,0,81.5,14.4,North America,41.49,-71.31
Khujand Tajikistan,163,402,14.7,35.5,-3.4,167.1,6,61,5.5,Asia,40.27,69.65
Yokohama Japan,3726,42,15,28,2,167,1,69.2,14,Asia,35.44,139.64
Mackay QLD Australia,85,29,22,30,12,166,0,77.5,22,Oceania,-21.14,149.18
Pensacola FL USA,53,34,19.9,32.2,5.7,165.9,0,74.5,12.9,North America,30.42,-87.22
Zhongshan GD China,3121,14,23.6,32,13,165.8,0,81.8,9.4,Asia,22.52,113.39
Sochi Russia,343,15,14.1,25,2,165.4,6,75.5,12,Asia,43.60,39.73
Gemena DRC,139,399,25.1,31.9,18.2,165.1,0,75.4,2.7,Africa,3.25,19.78
Pedro_Juan_Caballero Paraguay,116,613,22,29.9,12.3,165.1,0,72,5.8,South America,-22.55,-55.73
Darwin NT Australia,116,31,27,33,19,165,0,72.1,14,Oceania,-12.46,130.85
Gulfport MS USA,71,9,19.8,32.6,5.2,164.3,0,76.2,10.3,North America,30.37,-89.09
Batticaloa Sri_Lanka,92,11,28,32,24,164,0,80,12,Asia,7.73,81.67
Molde Norway,26,3,6.7,17,-2,164,3,75.5,12,Europe,62.74,7.16
Rivera Uruguay,200,241,17,30.1,7.5,163.9,0,75,13.1,South America,-30.92,-55.55
Londrina PR Brazil,486,569,20.9,30.1,11.1,163.3,0,71.1,12,South America,-23.30,-51.17
Adamstown Pitcairn,1,265,20,26.2,16,163.3,0,78,12,Oceania,-25.07,-130.10
Trincomalee Sri_Lanka,99,7,28,33,25,163,0,77.5,16,Asia,8.59,81.22
Lao_Cai Vietnam,657,1151,25.4,33.9,17.2,162,0,80,3.1,Asia,22.34,104.15
Can_Tho Vietnam,1237,2,27,33,21,161,0,74,7.3,Asia,10.05,105.75
Coos Bay OR USA,16,1,11.3,19.9,3.7,160.9,3,79,14.1,North America,43.37,-124.22
Hanoi Vietnam,7233,6,23,32.2,15,160.7,0,85,5.7,Asia,21.03,105.83
Barinas Venezuela,307,187,26.7,33,22,160.3,0,77.4,7,South America,8.62,-70.24
Haikou HN China,2046,14,24,32,15,160,0,83.5,12,Asia,20.04,110.20
Kindu DRC,172,516,25,31,19,159,0,81,1.5,Africa,-2.95,25.92
Kolkata WB India,4487,12,26.7,36,14.2,158.6,0,80,6.4,Asia,22.57,88.36
Port_de_Paix Haiti,462,16,26,31,24,158.4,0,77,9.6,Latin America,19.93,-72.83
West_Palm_Beach FL USA,102,5,24.1,32.3,13.8,158.2,0,74.1,15.3,North America,26.72,-80.05
Uige Angola,800,824,21.3,32,15,158.2,0,74.2,6.2,Africa,-7.61,15.06
Puebla CP Mexico,1434,1250,19.8,29.4,10.4,158.2,0,58,5.4,Latin America,19.00,-98.27
Imphal MN India,221,784,20.6,29.1,4,158.2,0,76.1,2.6,Asia,24.82,93.94
Juneau AK USA,33,3,5.6,17.7,-4.6,158.2,198,75,12.1,North America,58.30,-134.42
Belo_Horizonte MG Brazil,1433,916,21.1,28.8,13.1,158,0,72.2,4,South America,-19.92,-43.94
Miami FL USA,418,3,25.1,32.8,15.5,157.2,0,72.7,14,North America,25.76,-80.19
Goiania GO Brazil,1296,746,23.2,31.9,13.2,157.1,0,65.7,16,South America,-16.69,-49.26
Kyoto Japan,1475,41,14,32,-1,157,18,67.5,7.3,Asia,35.01,135.77
Medellin Colombia,2441,1494,22,26,17,157,0,70.5,14,South America,6.24,-75.58
Puerto_Princesa Philippines,223,15,27,32,23,156.4,0,84.5,9,Asia,9.97,118.79
Houma LA USA,34,3,20,32,7,156,1,66,11.2,North America,29.60,-90.72
Taichung Taiwan,2935,112,22,31,11,156,0,83,6.7,Asia,24.15,120.67
Mostar Bosnia_Herzegovina,106,107,15,29,2,156,6,61.5,16,Europe,43.34,17.81
Bhubaneshwar OR India,838,44,27.4,37.5,15.2,155.4,0,73,7.2,Asia,20.30,85.82
New_Orleans LA USA,379,0,20.4,32.7,6.2,155.3,0.5,74.2,12.9,North America,29.95,-90.07
Biratnagar Nepal,205,79,24.2,39,11,155,0,73.4,3.7,Asia,26.45,87.27
Mahajanga Madagascar,221,24,26,32,20,155,0,73,8,Africa,-15.69,46.33
Taunggyi Myanmar,381,1436,19,28,7,155,0,72,4.5,Asia,20.79,97.03
Kracheh Cambodia,319,26,27.1,39,21,154.9,0,76.6,7.7,Asia,12.86,105.97
Bimbo CAR,124,373,25.4,34,18,154.3,0,73.6,2.3,Africa,4.33,18.52
Rajshahi Bangladesh,764,20,25.7,35.7,11,154.2,0,76,6,Asia,24.36,88.62
Brasilia DF Brazil,2556,1060,20.6,26.9,12.9,154.1,0,67.6,12,South America,-15.79,-47.88
Cebu Philippines,866,8,28,32,23,154,0,85.4,12,Asia,10.61,123.89
Hiroshima Japan,1174,53,15,30,1,154,12,68,9,Asia,34.39,132.46
Yaounde Cameroon,3060,752,23,29,18,154,0,83,2.7,Africa,3.85,11.50
Rijeka Croatia,129,85,14,27,2,154,1,61,12,Europe,45.33,14.44
Lafayette LA USA,121,12,20.7,33.7,6.1,153.7,1,78,11.3,North America,30.22,-92.02
Nagoya Japan,2283,17,15,31,0,153.5,16,66,14,Asia,35.18,136.91
Saint_Johns NL Canada,206,139,5,20.7,-8.2,153.4,335,80.7,21.9,North America,47.56,-52.71
Shantou GD China,5391,3,21,31,11,153,0,82.5,14,Asia,23.35,116.68
Udine Italy,542,92,13,28,1,153,11,68,4.1,Europe,46.07,13.23
New_Plymouth NZ,57,49,13,21,6,153,0,81,11.7,Oceania,-39.06,174.08
Chaozhou GD China,2670,21,21.7,32,10,152.3,0,79.7,9.3,Asia,23.66,116.62
Surat_Thani Thailand,1040,10,27,33,21,152,0,80.5,6,Asia,9.13,99.33
Bangui CAR,734,365,26,32,20,152,0,75,6,Africa,4.39,18.56
Gulu Uganda,150,1109,23,32,16,152,0,65,5.2,Africa,2.77,32.29
Tokyo Japan,13513,7,15,30,1,152,11,62,19,Asia,35.69,139.69
Haugesund Norway,38,24,6.9,15,0,152,5,80,22,Europe,59.41,5.27
Florianopolis SC Brazil,249,4,20.4,28.4,13.3,151.8,0,82,14,South America,-27.59,-48.55
Janakpur Nepal,169,77,24.7,36,10,151.7,0,70.3,3.5,Asia,26.73,85.94
Sydney NS Canada,32,61,5.9,23.1,-9.6,151.7,283,77.5,17.5,North America,46.14,-60.19
Sarasota FL USA,53,4,22.8,33.4,9.4,151.4,0,76,12.6,North America,27.34,-82.53
Ngaoundere Cameroon,153,1114,22,31,12,151,0,66,5,Africa,7.34,13.57
Alexandria LA USA,48,13,18.5,33.6,2.1,150.9,0.3,72,9.6,North America,31.31,-92.45
Lagos Nigeria,16060,38,27,30,23,150.7,0,82.5,5.9,Africa,6.52,3.38
Tallahassee FL USA,186,16,19.8,33.4,3.9,150.4,0.3,73.1,9.7,North America,30.44,-84.28
Hattiesburg MS USA,48,46,18.9,33.4,2.9,150.4,1,74,7.2,North America,31.33,-89.29
Busan South_Korea,3590,15,14.9,29.2,-0.7,149.2,4,66.3,9.8,Asia,35.18,129.08
Savannakhet Laos,120,155,26,35,14,149,0,73,5.3,Asia,16.57,104.77
Oban NZ,1,35,9.9,17.3,2.6,149,2,85.8,18,Oceania,-46.90,168.13
Campbell_River BC Canada,35,103,9,23.3,-0.8,148.9,84.3,80,7.4,North America,50.03,-125.27
Fort_Lauderdale FL USA,166,4,24.5,32.6,14.4,148.8,0,74.5,13.4,North America,26.12,-80.14
Curitiba PR Brazil,1752,907,16.8,26.7,8.1,148.3,0,80.7,14,South America,-25.42,-49.27
Kinshasa DRC,10130,311,26,30,20,148.2,0,74,8,Africa,-4.44,15.27
Grytviken South_Georgia,1,3,2,8,-4.9,148,30,81.5,20,Antarctica,-54.28,-36.51
Tshikapa DRC,588,464,24.9,34,18,147.8,0,74.9,4.5,Africa,-6.42,20.80
Port_Saint_Lucie FL USA,171,0,23.6,32.6,13,147.3,0,77.5,10.7,North America,27.27,-80.36
Jackson TN USA,68,127,15,32,3,147.3,12,69,11.3,North America,35.61,-88.81
Baton_Rouge LA USA,229,19,19.9,33,5.3,147.1,0.5,75,10.5,North America,30.46,-91.14
Naypyidaw Myanmar,925,118,27,40,16,147,0,68.4,3.3,Asia,19.76,96.08
Surabaya Java Indonesia,2765,3,28,32,24,147,0,76,9,Oceania,-7.26,112.75
Freeport Bahamas,27,10,25,31,17,147,0,74.2,16,Latin America,26.54,-78.65
Torshavn Faroe_Islands,18,39,6,12,1,147,15,87.5,25,Europe,62.01,-6.79
Wilmington NC USA,112,21,17.8,32.1,2,146.3,4.3,74,12.7,North America,34.23,-77.94
Ubon_Ratchathani Thailand,200,121,26,35,16,146,0,70,6.6,Asia,15.24,104.85
Cao_Bang Vietnam,518,263,22,32,9,146,0,81,6.3,Asia,22.64,106.25
Gold_Coast QLD Australia,638,12,20.6,28.9,8.9,145.6,0,70,10.2,Oceania,-28.02,153.40
Puerto_Vallarta JA Mexico,203,10,25,34,16,145.5,0,79,16,Latin America,20.65,-105.23
Seoul South_Korea,9996,86,12,28,-6,145.1,8,66.5,8,Asia,37.57,126.98
Bangkok Thailand,8281,20,28,34,21,145,0,73.8,9,Asia,13.76,100.50
Phitsanulok Thailand,851,50,27,36,17,144,0,72,4.2,Asia,16.82,100.27
Siem_Reap Cambodia,231,22,27,34,19,144,0,77,4.9,Asia,13.37,103.84
Hangzhou ZJ China,3560,42,16,32,1,144,0,77.5,12,Asia,30.16,120.27
Ulsan South_Korea,1164,32,14,28,-2,144,5,63.8,8,Asia,35.54,129.31
Bar_Harbor ME USA,5,25,8.4,26.2,-10.2,144,169.7,71,11.6,North America,44.39,-68.20
Xalapa VE Mexico,425,1365,19.2,27.7,10.4,143.6,0,66,5.8,Latin America,19.54,-96.91
Tupelo MS USA,36,99,16.6,32.6,-1.2,143.3,7,71.3,10.4,North America,34.26,-88.70
Meridian MS USA,41,89,17.6,33.2,0.6,142.8,1.5,74.7,9.7,North America,32.36,-88.70
Thimphu Bhutan,104,2300,13.6,24.4,-2.6,142.7,13,45,3.8,Asia,27.47,89.64
